totexp,pclothes,pfood,pfoodaway,pfuel,phealthcare,prent,pschool,ptelephone,pvice
2.5,0.0,0.6,0.0,0.024,0.08,0.0,0.0,0.0,0.0
6.0,0.1833,0.25,0.1667,0.0083,0.0023,0.0,0.0,0.0417,0.0
8.0,0.0,0.5,0.0625,0.0188,0.0,0.0,0.0,0.0,0.0
15.0,0.1133,0.2,0.01,0.1667,0.2067,0.0,0.1467,0.0,0.0
6.0,0.3333,0.5,0.0,0.0267,0.0,0.0,0.0,0.0,0.0
9.0,0.0778,0.5556,0.0556,0.0278,0.0,0.0,0.0556,0.0,0.0
12.0,0.0125,0.4167,0.025,0.05,0.0,0.0,0.025,0.0783,0.0
3.0,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0923,0.3462,0.0408,0.0,0.0092,0.0,0.1154,0.0,0.0
4.0,0.0,0.75,0.0,0.15,0.0,0.0,0.0225,0.0,0.0125
10.0,0.3,0.2,0.02,0.05,0.01,0.0,0.25,0.0,0.0
15.0,0.28,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0857,0.0286,0.0,0.0286,0.0,0.0571,0.0,0.0
5.5,0.0,0.3636,0.0,0.0909,0.0,0.0,0.0145,0.0227,0.0
3.0,0.1667,0.2,0.0667,0.0,0.05,0.0,0.0833,0.1667,0.0
5.0,0.0,0.4,0.2,0.02,0.002,0.0,0.0,0.0,0.0
8.0,0.0,0.3125,0.0,0.0625,0.005,0.0,0.0225,0.0,0.0
0.6,0.0,0.3,0.0,0.0833,0.0,0.0,0.0,0.0,0.0
6.5,0.3769,0.3846,0.0,0.0,0.0,0.0,0.1231,0.0,0.0
2.5,0.0,0.8,0.0,0.0,0.008,0.0,0.008,0.0,0.0
20.0,0.075,0.5,0.0,0.075,0.0,0.0,0.005,0.0,0.0
20.0,0.0,0.3,0.0015,0.1425,0.0,0.25,0.063,0.0,0.0
20.0,0.0,0.2,0.1,0.025,0.025,0.175,0.0175,0.3,0.0
28.0,0.0286,0.3214,0.0714,0.1,0.0,0.0,0.125,0.0,0.0
6.0,0.0417,0.5,0.0033,0.145,0.0033,0.0833,0.0,0.0,0.0
7.0,0.0,0.3571,0.0,0.1714,0.0,0.0,0.0,0.0,0.0
12.0,0.0183,0.5,0.0,0.175,0.0,0.0,0.0283,0.0,0.0
12.5,0.0,0.4,0.0,0.04,0.048,0.12,0.032,0.0,0.0
10.0,0.0,0.5,0.0,0.098,0.002,0.0,0.0,0.004,0.0
25.0,0.024,0.12,0.0,0.1,0.024,0.16,0.224,0.028,0.0
14.0,0.0,0.3,0.0286,0.2143,0.0536,0.0,0.0857,0.0,0.0
44.5,0.0787,0.1573,0.1124,0.0899,0.0157,0.2697,0.027,0.027,0.0
12.0,0.0208,0.2917,0.0,0.0892,0.0,0.0167,0.0025,0.0,0.0
34.0,0.0,0.2353,0.0,0.1353,0.0071,0.0735,0.0441,0.2941,0.0
15.85,0.0,0.5047,0.0252,0.0442,0.0473,0.0,0.0379,0.005,0.0252
37.0,0.0568,0.3108,0.0541,0.0216,0.0,0.1081,0.0324,0.1351,0.0
3.8,0.5,0.2632,0.0,0.0658,0.0,0.0,0.0132,0.0,0.0
28.0,0.05,0.25,0.0071,0.0625,0.0214,0.0,0.0036,0.0,0.0
8.0,0.0438,0.5,0.0,0.035,0.0,0.0,0.0,0.0,0.0
15.5,0.0355,0.3226,0.0,0.0581,0.1106,0.1613,0.0,0.0,0.0
13.0,0.1308,0.2308,0.0,0.0462,0.0,0.1385,0.0769,0.0538,0.0
120.0,0.0,0.25,0.0,0.0208,0.0,0.0,0.0792,0.325,0.0
30.0,0.1167,0.2,0.0667,0.0733,0.0,0.1533,0.1,0.0,0.0
33.0,0.0303,0.1818,0.0909,0.0879,0.0212,0.0758,0.0833,0.0848,0.0303
6.0,0.0,0.5333,0.0667,0.0833,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.2222,0.2222,0.0756,0.0,0.0556,0.0044,0.08,0.0
9.0,0.0389,0.4444,0.0444,0.0667,0.0,0.0,0.0167,0.0,0.0
15.0,0.1733,0.3,0.0333,0.2167,0.1,0.0,0.004,0.0,0.0
8.0,0.0,0.25,0.0,0.1313,0.0,0.0938,0.0,0.0875,0.0
50.0,0.1,0.11,0.01,0.05,0.03,0.06,0.02,0.36,0.0
20.0,0.0,0.25,0.0,0.025,0.0,0.1,0.02,0.12,0.0
37.0,0.0,0.1622,0.0405,0.1108,0.0027,0.0,0.4459,0.0378,0.0135
6.0,0.0,0.2042,0.0167,0.035,0.0,0.25,0.0083,0.1333,0.0167
7.0,0.0857,0.4286,0.0,0.1714,0.0,0.2143,0.0,0.0,0.0
8.0,0.0,0.4375,0.0,0.125,0.1063,0.1,0.0,0.0,0.025
5.0,0.15,0.3,0.0,0.08,0.0,0.1,0.0,0.14,0.0
18.0,0.0611,0.5,0.0,0.0833,0.0,0.0,0.1111,0.0,0.0
3.0,0.0,0.6667,0.0,0.0667,0.0067,0.0,0.0,0.0,0.0133
18.0,0.1111,0.2222,0.0111,0.2778,0.0025,0.0,0.0,0.0,0.0
20.0,0.095,0.4,0.01,0.06,0.0,0.0,0.0,0.11,0.0
13.0,0.0115,0.2385,0.1154,0.1154,0.0115,0.0,0.0577,0.0538,0.0
25.0,0.12,0.4,0.12,0.08,0.0,0.14,0.0,0.0,0.0
9.0,0.3,0.5,0.2,0.1111,0.0,0.0,0.6556,0.0,0.0
15.5,0.1548,0.2835,0.0071,0.0732,0.0548,0.2581,0.0258,0.0,0.0
9.0,0.0,0.3667,0.1111,0.0833,0.0,0.0,0.0,0.0,0.0
7.7,0.1299,0.1299,0.013,0.1247,0.0,0.0,0.2338,0.0,0.0
10.0,0.03,0.4,0.0,0.16,0.0,0.08,0.0,0.014,0.0
6.0,0.0,0.5,0.15,0.125,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.4667,0.0,0.0667,0.0,0.0,0.0667,0.0,0.02
10.5,0.0381,0.6667,0.0857,0.1105,0.1905,0.0,0.0476,0.0,0.0514
25.0,0.058,0.02,0.008,0.0,0.0,0.0,0.04,0.3,0.02
5.0,0.1,0.6,0.0,0.096,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.7143,0.0,0.181,0.0,0.0,0.0,0.0,0.0
25.0,0.058,0.6,0.02,0.04,0.0,0.0,0.0136,0.3,0.02
1.8,0.0,0.4167,0.0278,0.0389,0.0,0.0,0.2167,0.0,0.0
10.0,0.02,0.5,0.003,0.0405,0.007,0.0,0.003,0.0,0.0
4.5,0.0,0.7778,0.0,0.0544,0.0333,0.0,0.0,0.0,0.0
0.45,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.2414,0.1552,0.0241,0.0145,0.0276,0.0,0.1724,0.0276,0.0
12.0,0.0833,0.4167,0.1,0.0417,0.0292,0.0,0.125,0.0,0.0
12.0,0.0,0.5,0.0333,0.2442,0.0667,0.0,0.3,0.0,0.0
10.0,0.0,0.5,0.0,0.13,0.0015,0.0,0.2,0.0,0.0
4.5,0.1,0.5556,0.0,0.2,0.0556,0.0,0.0033,0.0,0.0
42.0,0.0,0.2381,0.0,0.2857,0.0,0.0,0.4762,0.0,0.0
15.0,0.1467,0.6,0.2,0.13,0.0087,0.0,0.008,0.0,0.0
10.0,0.16,0.4,0.0,0.0,0.0,0.0,0.0,0.224,0.0
6.0,0.0667,0.6667,0.0,0.0375,0.0033,0.0,0.0333,0.0,0.0
8.0,0.1875,0.625,0.0,0.0938,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.6667,0.0,0.1083,0.0,0.0,0.0067,0.0,0.0
4.0,0.375,0.75,0.0,0.0,0.0,0.0,0.1875,0.0,0.0
6.0,0.0,0.5,0.0,0.0833,0.0,0.0,0.0167,0.0,0.0
15.0,0.0,0.5333,0.0,0.06,0.0733,0.0,0.0093,0.0,0.0
30.0,0.0192,0.2,0.0,0.0217,0.0,0.0,0.45,0.0333,0.0
8.0,0.0,0.625,0.0,0.225,0.0,0.0,0.0063,0.0,0.0
4.0,0.0,0.625,0.025,0.0888,0.0,0.175,0.0,0.0,0.0
3.5,0.0,0.5714,0.0,0.2171,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.8333,0.0,0.1,0.0,0.0,0.025,0.0,0.0
12.0,0.5833,0.5833,0.0083,0.1554,0.05,0.0,0.0,0.0,0.0
15.0,0.0633,0.6667,0.1,0.1067,0.0,0.2067,0.1,0.0,0.0
10.0,0.0,0.2,0.05,0.075,0.022,0.0,0.023,0.042,0.15
10.0,0.0,0.58,0.18,0.125,0.0,0.0,0.025,0.26,0.0
40.0,0.225,0.25,0.075,0.0625,0.0013,0.05,0.0875,0.05,0.0
9.0,0.2111,0.4,0.0056,0.0444,0.0,0.0,0.1111,0.0889,0.0
13.5,0.1852,0.037,0.0,0.2511,0.0,0.0,0.1519,0.1852,0.0
28.0,0.1429,0.3214,0.0714,0.0964,0.0,0.0,0.0571,0.0,0.0143
9.0,0.0,0.0556,0.0111,0.1333,0.0,0.0,0.02,0.0,0.0
4.0,0.0,0.5,0.0,0.19,0.0,0.0,0.0,0.025,0.0
34.0,0.1971,0.2941,0.0147,0.0985,0.0,0.1324,0.1471,0.0388,0.0
6.15,0.0,0.3252,0.0,0.1463,0.0,0.0,0.3577,0.052,0.0
25.0,0.06,0.064,0.12,0.02,0.08,0.0,0.4,0.0024,0.0
25.0,0.028,0.12,0.04,0.04,0.06,0.0,0.2,0.028,0.0
13.0,0.1923,0.3462,0.0077,0.0923,0.0038,0.0,0.0508,0.0038,0.0
29.0,0.0621,0.3448,0.0172,0.0593,0.0,0.2069,0.0621,0.0,0.0
95.0,0.0,0.0842,0.0221,0.0265,0.0008,0.0,0.0053,0.2387,0.0789
17.0,0.0059,0.1471,0.0353,0.0118,0.0059,0.1471,0.0059,0.0,0.0
10.0,0.23,0.2,0.02,0.065,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.125,0.0,0.25,0.0167,0.0,0.0,0.0,0.0
9.0,0.0667,0.1667,0.0222,0.1111,0.0111,0.0,0.2222,0.0,0.0
10.0,0.17,0.2,0.0,0.134,0.059,0.18,0.0,0.056,0.0
12.55,0.239,0.239,0.0239,0.0797,0.0199,0.0,0.1594,0.008,0.0
8.0,0.125,0.1875,0.0,0.125,0.0009,0.0,0.0063,0.0088,0.0
10.0,0.1,0.3,0.01,0.06,0.15,0.0,0.0,0.0,0.0
5.5,0.0,0.3273,0.0,0.1727,0.0038,0.0909,0.0,0.0,0.0
18.0,0.0556,0.1667,0.0278,0.0833,0.0556,0.0,0.0889,0.0389,0.0111
7.0,0.4286,0.1714,0.0079,0.1307,0.0,0.0,0.0371,0.0,0.0
10.0,0.0,0.25,0.05,0.2,0.02,0.0,0.15,0.028,0.0
15.0,0.1667,0.2,0.0067,0.01,0.0667,0.0,0.2333,0.0,0.0
4.0,0.2,0.375,0.0,0.175,0.0,0.0,0.125,0.0,0.0
39.0,0.0,0.1282,0.0,0.0513,0.0,0.0897,0.004,0.0036,0.0
16.0,0.1438,0.5,0.0,0.1309,0.0,0.0531,0.0,0.035,0.0
28.0,0.1786,0.7143,0.0,0.1071,0.0179,0.0,0.0,0.3571,0.0
3.0,0.49,0.5,0.0,0.0333,0.0,0.0,0.0,0.0,0.0167
15.0,0.0333,0.5333,0.0,0.1,0.0,0.1867,0.0867,0.0467,0.0
50.0,0.08,0.6,0.156,0.1,0.07,0.0,0.41,0.0,0.0
18.0,0.0833,0.2222,0.1111,0.1944,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.2222,0.0667,0.0222,0.0456,0.2222,0.0,0.0,0.0
15.0,0.0,0.4667,0.0,0.08,0.0,0.0,0.07,0.28,0.0
18.0,0.0,0.5,0.0,0.0833,0.0,0.0417,0.0556,0.0,0.0
25.0,0.1,0.4,0.02,0.032,0.0,0.28,0.06,0.1048,0.2
15.0,0.0,0.3333,0.0333,0.1667,0.0,0.0,0.0,0.0,0.0
29.7,0.0084,0.1515,0.101,0.004,0.0,0.1178,0.0121,0.404,0.0
25.0,0.022,0.4,0.0048,0.032,0.0,0.0,0.06,0.12,0.0
8.0,0.0563,0.375,0.0,0.2306,0.0,0.0,0.5,0.0,0.0
15.5,0.0451,0.1613,0.0045,0.0555,0.0,0.1161,0.4645,0.0,0.0
10.0,0.0,0.5,0.0,0.095,0.0,0.3,0.0,0.14,0.0
9.0,0.0,0.5556,0.0172,0.0811,0.0133,0.0,0.0444,0.0167,0.0172
30.0,0.04,0.5,0.15,0.0917,0.0,0.0,0.1533,0.0,0.0
6.0,0.0,0.8333,0.0,0.1417,0.0,0.0,0.1667,0.0467,0.0
10.0,0.0,0.4,0.024,0.169,0.0,0.15,0.4,0.024,0.0
15.0,0.0,0.3333,0.1,0.0667,0.0,0.0,0.0,0.0373,0.0
12.0,0.0,0.4167,0.0,0.0167,0.0,0.0,0.1667,0.0,0.0
20.0,0.0,0.25,0.0,0.109,0.0,0.05,0.1,0.0,0.0
25.0,0.0116,0.04,0.0224,0.1332,0.0,0.2,0.0,0.0616,0.0
30.0,0.0,0.5,0.0,0.1167,0.006,0.0,0.12,0.04,0.0
9.95,0.201,0.201,0.2513,0.1005,0.0,0.0553,0.0,0.0,0.0
1.2,0.0,0.4167,0.0417,0.125,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.25,0.0,0.0325,0.0,0.125,0.175,0.06,0.0
20.0,0.03,0.3,0.01,0.075,0.005,0.25,0.025,0.05,0.0
23.0,0.2174,0.0278,0.0,0.0726,0.0,0.2609,0.0043,0.0243,0.0
60.0,0.05,0.0833,0.0,0.0142,0.0,0.1167,0.05,0.0117,0.0
5.2,0.0,0.3846,0.0,0.0769,0.0,0.0,0.0,0.0,0.0
11.0,0.0273,0.6364,0.0,0.0227,0.0,0.0,0.0,0.0182,0.0
5.5,0.3145,0.4545,0.0,0.0273,0.0,0.0,0.0,0.0,0.0182
1.6,0.0,0.625,0.0,0.0125,0.0313,0.0,0.0,0.0,0.0
4.0,0.0475,0.675,0.025,0.075,0.0,0.0,0.0,0.0,0.0
5.0,0.14,0.3,0.06,0.01,0.02,0.0,0.02,0.0,0.0
1.6,0.0,0.75,0.0,0.0625,0.0,0.0,0.05,0.0,0.0
7.5,0.0933,0.3333,0.0,0.024,0.0933,0.0,0.0133,0.0,0.0
7.5,0.0267,0.2267,0.0,0.04,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.4,0.03,0.076,0.1,0.0,0.0,0.0,0.05
6.8,0.0,0.1471,0.1029,0.0191,0.0735,0.0,0.0,0.0,0.0
37.0,0.0059,0.3514,0.0,0.0189,0.0,0.0041,0.0,0.0076,0.0
28.0,0.0607,0.0714,0.0,0.0757,0.0,0.0,0.0114,0.2321,0.0
5.5,0.0691,0.3091,0.0,0.0382,0.0,0.0,0.0045,0.0,0.0545
8.0,0.0313,0.1875,0.0,0.0125,0.0725,0.0,0.0,0.0,0.0
3.5,0.0,0.2857,0.0,0.0243,0.3571,0.0,0.0,0.0,0.0
5.0,0.0,0.44,0.0,0.05,0.0,0.0,0.012,0.0,0.0
5.0,0.0,0.6,0.0,0.02,0.0,0.0,0.01,0.0,0.0
6.0,0.0583,0.2,0.0333,0.0467,0.0717,0.0,0.0333,0.0,0.0
19.0,0.0,0.1842,0.0158,0.0737,0.0263,0.0,0.0526,0.0,0.0
58.0,0.0103,0.0207,0.0,0.0026,0.0,0.0,0.0003,0.0,0.0
2.7,0.0,0.7407,0.0,0.037,0.0056,0.0,0.0,0.0,0.0
3.0,0.0,0.5,0.0,0.0,0.0067,0.0,0.025,0.0,0.0
3.5,0.0,0.5714,0.0,0.0571,0.0429,0.0,0.0,0.0,0.0
13.8,0.087,0.5797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.385,0.0,0.4561,0.0228,0.1425,0.0,0.0,0.0,0.0,0.0912
10.0,0.07,0.4,0.04,0.028,0.057,0.0,0.05,0.0,0.0
5.0,0.1,0.2,0.05,0.036,0.06,0.0,0.14,0.0,0.0
19.0,0.0,0.1579,0.0,0.0184,0.0263,0.0,0.0126,0.0,0.0211
17.18,0.2328,0.2619,0.0873,0.0204,0.0407,0.0,0.0373,0.0,0.0
5.0,0.056,0.52,0.0,0.082,0.0,0.0,0.0,0.0,0.02
4.0,0.0,0.25,0.0,0.055,0.125,0.0,0.015,0.0,0.0
9.0,0.2222,0.3333,0.0,0.0333,0.0,0.0,0.0,0.0,0.1667
12.5,0.24,0.28,0.0,0.02,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0286,0.0,0.0029,0.0,0.0,0.0,0.0,0.0029
3.5,0.0,0.5714,0.0,0.0286,0.0,0.0,0.0,0.0,0.0857
10.5,0.0571,0.1905,0.0476,0.0171,0.0,0.0,0.1905,0.0,0.0
6.0,0.0,0.25,0.0,0.0167,0.0,0.0,0.0133,0.0,0.0083
4.0,0.0,0.5,0.0,0.075,0.0,0.0,0.0,0.0,0.0
3.0,0.0833,0.3333,0.0,0.0333,0.01,0.0,0.0533,0.0,0.0133
8.0,0.0,0.4375,0.0375,0.0206,0.0625,0.0,0.0363,0.0,0.0
3.5,0.1,0.4857,0.0,0.0571,0.2143,0.0,0.0,0.0,0.0
51.0,0.0,0.0235,0.002,0.0078,0.001,0.0,0.0016,0.0,0.0
10.0,0.1,0.2,0.0,0.015,0.0,0.0,0.0225,0.0,0.0
15.0,0.0,0.1333,0.0,0.01,0.018,0.0,0.5333,0.0,0.0333
7.0,0.0,0.7143,0.0143,0.0286,0.0429,0.0,0.0714,0.0,0.0
5.0,0.15,0.56,0.0,0.04,0.06,0.0,0.0,0.0,0.0
1.9,0.1974,0.2105,0.0,0.0526,0.1053,0.0,0.0,0.0,0.1579
5.0,0.0,0.2,0.0,0.06,0.0,0.0,0.1,0.0,0.0
10.0,0.145,0.1,0.0,0.007,0.0,0.0,0.0,0.0,0.0
4.5,0.0867,0.6222,0.0,0.04,0.1,0.0,0.0,0.0,0.0
1.3,0.2308,0.1538,0.0,0.0615,0.2308,0.0,0.0,0.0,0.0
5.0,0.23,0.5,0.0,0.024,0.0,0.0,0.0,0.0,0.0
2.4,0.0,0.625,0.0,0.0625,0.0333,0.0,0.0,0.0,0.0
3.0,0.1567,0.5,0.0,0.0167,0.0333,0.0,0.005,0.0,0.0
2.5,0.0,0.4,0.0,0.08,0.12,0.0,0.0,0.0,0.016
10.0,0.0,0.1,0.0,0.01,0.004,0.0,0.0,0.0,0.02
6.5,0.0,0.6154,0.0538,0.0077,0.0769,0.0,0.0692,0.0,0.0
9.8,0.0306,0.2041,0.0102,0.0204,0.1633,0.0,0.0,0.0,0.0
5.0,0.2,0.4,0.002,0.01,0.02,0.0,0.005,0.0,0.1
2.7,0.0667,0.7407,0.0,0.0296,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0833,0.05,0.02,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.3333,0.0333,0.0283,0.1667,0.0,0.0,0.0,0.0
10.0,0.09,0.2,0.0,0.016,0.02,0.0,0.0,0.056,0.05
3.6,0.2222,0.5556,0.0,0.0222,0.0,0.0,0.0,0.0,0.0778
3.0,0.0,0.1667,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.3333,0.0,0.0333,0.0,0.0,0.0,0.0,0.0
8.0,0.0875,0.5,0.0,0.0563,0.025,0.0,0.075,0.0,0.0
25.0,0.34,0.2,0.02,0.044,0.028,0.012,0.0,0.0,0.0
7.0,0.0,0.7143,0.0,0.0143,0.0929,0.0,0.0,0.0,0.0143
6.0,0.0,0.5833,0.0167,0.0167,0.05,0.0,0.0333,0.0,0.0
2.8,0.1607,0.3571,0.0,0.0607,0.0,0.0,0.0,0.0,0.0
17.0,0.2353,0.2941,0.0471,0.0265,0.0047,0.0,0.1765,0.0,0.0
3.0,0.19,0.2667,0.0,0.0667,0.0167,0.0,0.0,0.0,0.0667
9.0,0.1111,0.2778,0.0,0.0211,0.0167,0.0,0.0489,0.0,0.0111
3.2,0.0,0.4688,0.0,0.0469,0.0313,0.0,0.0125,0.0,0.0688
5.0,0.075,0.54,0.0,0.03,0.124,0.0,0.0,0.0,0.0
8.6,0.2326,0.6977,0.0,0.0116,0.0,0.0,0.0,0.0,0.0
4.0,0.045,0.25,0.0,0.025,0.3,0.0,0.0,0.0,0.0
2.0,0.0,0.25,0.0,0.1,0.165,0.0,0.0,0.0,0.0
8.0,0.0,0.15,0.0,0.0438,0.0,0.0,0.0313,0.0,0.0
2.0,0.0,0.3,0.0,0.05,0.0,0.0,0.03,0.0,0.0
3.5,0.0,0.4286,0.1429,0.02,0.0143,0.0857,0.0,0.0,0.0
2.5,0.0,0.4,0.0,0.04,0.16,0.0,0.0,0.0,0.0
8.0,0.1,0.1875,0.0,0.0125,0.025,0.0,0.035,0.0,0.0
25.0,0.376,0.08,0.0,0.008,0.02,0.0,0.0,0.0,0.0
6.0,0.0,0.5333,0.0333,0.0583,0.0,0.0,0.05,0.0,0.0
5.0,0.0,0.7,0.0,0.03,0.1,0.0,0.0,0.0,0.0
5.0,0.5,0.12,0.02,0.04,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.25,0.017,0.0625,0.0,0.0,0.0,0.0,0.01
14.0,0.0607,0.2429,0.0857,0.0164,0.0,0.0,0.0,0.0179,0.0214
0.8,0.6375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.6,0.0,0.024,0.09,0.0,0.0,0.0,0.0
3.0,0.0,0.8333,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2.5,0.0,1.0,0.04,0.044,0.02,0.0,0.0,0.0,0.06
0.4,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2.3,0.2174,0.3478,0.0,0.0435,0.0,0.0,0.0,0.0,0.0
4.5,0.1722,0.3333,0.0,0.06,0.0,0.0,0.1222,0.0,0.0
18.0,0.1667,0.2222,0.0278,0.0333,0.0,0.0,0.0917,0.0,0.0556
2.0,0.1,0.25,0.005,0.04,0.01,0.0,0.0,0.0,0.0
8.0,0.25,0.1875,0.0688,0.0231,0.0688,0.0,0.0113,0.0,0.0
4.5,0.0267,0.4444,0.0,0.0556,0.1667,0.0,0.0,0.0,0.0556
4.0,0.05,0.5,0.0,0.05,0.0113,0.0,0.0,0.0,0.05
2.9,0.1034,0.5172,0.0,0.0448,0.031,0.0,0.0,0.0,0.0
13.0,0.0231,0.3077,0.0154,0.0146,0.0231,0.0385,0.2246,0.0231,0.0
5.0,0.0,0.3,0.01,0.06,0.3,0.0,0.0,0.0,0.0
7.0,0.0429,0.4286,0.0071,0.0214,0.1814,0.0,0.01,0.0,0.0714
4.0,0.0,0.375,0.01,0.065,0.0,0.0,0.1,0.0,0.05
9.5,0.0,0.1053,0.0,0.0316,0.06,0.0,0.0,0.0,0.0
8.0,0.0,0.0625,0.0,0.025,0.0231,0.0,0.04,0.0,0.0
6.0,0.0,0.4167,0.0,0.02,0.0,0.0,0.05,0.0,0.0
5.0,0.0,0.2,0.0,0.03,0.15,0.0,0.012,0.0,0.0
6.0,0.0,0.7,0.0167,0.0267,0.0,0.0,0.1,0.0,0.0333
4.0,0.0,0.15,0.075,0.05,0.075,0.0,0.0,0.0,0.0
32.0,0.0875,0.3125,0.2813,0.0188,0.0416,0.0,0.125,0.0,0.0
22.0,0.1273,0.1591,0.0682,0.0109,0.0091,0.0,0.0,0.3409,0.0
3.0,0.0,0.3333,0.0333,0.06,0.0,0.0,0.0,0.0,0.0
11.5,0.2174,0.2609,0.0435,0.0165,0.0435,0.0,0.0,0.0,0.0
3.5,0.0,0.5143,0.0,0.0143,0.16,0.0,0.0,0.0,0.0
2.0,0.0,0.4,0.0025,0.125,0.0,0.0,0.01,0.0,0.2
4.0,0.11,0.5,0.025,0.075,0.075,0.0,0.0,0.0,0.0
4.5,0.1556,0.4444,0.0,0.0333,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.625,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0
4.0,0.0,0.5,0.0,0.0313,0.055,0.0,0.0,0.0,0.02
4.2,0.1333,0.1667,0.2024,0.0155,0.0476,0.0,0.0,0.0,0.1905
1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.375,0.05,0.025,0.1,0.0,0.0,0.0,0.0
3.8,0.0447,0.6579,0.0,0.0053,0.1842,0.0,0.0,0.0,0.0
2.0,0.0,0.35,0.05,0.075,0.0,0.0,0.04,0.0,0.0
8.0,0.0,0.75,0.0031,0.05,0.0,0.0,0.0125,0.0,0.0
3.8,0.0,0.2632,0.0,0.0947,0.1711,0.0,0.0789,0.0,0.0
14.5,0.1379,0.5517,0.0207,0.0621,0.0138,0.0,0.0138,0.0,0.0
