dateid01,allords,ftse,nasdaq,nikkei
1988-01-01,-4.7652,4.4868,4.2965,9.5437
1988-02-01,-0.5091,-1.2285,6.4694,6.8622
1988-03-01,13.1846,-1.4869,2.0708,4.0288
1988-04-01,2.9387,3.4261,1.228,4.4707
1988-05-01,7.5281,-0.9821,-2.3471,-0.062
1988-06-01,-0.7658,4.0964,6.5893,1.2839
1988-07-01,3.653,-0.2153,-1.8748,0.515
1988-08-01,-2.5563,-5.3949,-2.7627,-1.9561
1988-09-01,-1.2034,4.1572,2.9474,2.039
1988-10-01,2.2815,1.418,-1.3412,0.2113
1988-11-01,-7.2779,-3.239,-2.8758,5.7035
1988-12-01,1.0805,0.0391,2.6649,1.9609
1989-01-01,4.3095,14.4275,5.2176,4.715
1989-02-01,-4.2991,-2.4076,-0.3987,1.2824
1989-03-01,-1.6972,3.6256,1.7513,2.6668
1989-04-01,2.7816,2.0723,5.1389,2.6615
1989-05-01,1.9797,-0.17,4.3499,1.6433
1989-06-01,-0.5752,1.731,-2.4429,-3.8463
1989-07-01,7.4354,6.7875,4.2499,6.0852
1989-08-01,7.8938,3.9573,3.4156,-1.4963
1989-09-01,-1.554,-3.7062,0.7671,3.5027
1989-10-01,-5.1619,-6.8192,-3.6583,-0.2469
1989-11-01,-2.1018,6.2634,0.1097,4.8384
1989-12-01,2.3207,6.4081,-0.285,4.4192
1990-01-01,1.698,-3.525,-8.5752,-4.4378
1990-02-01,-6.0704,-3.504,2.405,-6.9832
1990-03-01,-2.5013,-0.3325,2.2781,-13.3326
1990-04-01,-5.2937,-6.4282,-3.5362,-1.3175
1990-05-01,3.9601,11.4909,9.2597,11.9858
1990-06-01,-0.7539,1.2579,0.719,-3.5948
1990-07-01,4.8711,-2.0382,-5.2131,-2.8303
1990-08-01,-4.2064,-7.0243,-13.0078,-16.2972
1990-09-01,-7.2433,-7.9804,-9.6275,-19.224
1990-10-01,-5.0915,3.0198,-4.2671,20.0629
1990-11-01,-0.5651,4.8334,8.8842,-10.8716
1990-12-01,-3.0234,-0.2745,4.0936,6.208
1991-01-01,3.2583,1.2503,10.8079,-2.3313
1991-02-01,6.364,9.7037,9.3916,13.3774
1991-03-01,2.739,3.1753,6.4445,-0.443
1991-04-01,6.2392,1.209,0.5018,-0.6884
1991-05-01,-1.5774,0.535,4.4129,-1.2294
1991-06-01,-0.2517,-3.3887,-5.9651,-9.6898
1991-07-01,4.3952,7.2056,5.4883,3.5636
1991-08-01,-2.0351,2.1979,4.7088,-7.4002
1991-09-01,1.4087,-0.9071,0.2283,7.0738
1991-10-01,7.7396,-2.1246,3.0557,5.4608
1991-11-01,-4.593,-5.682,-3.5139,-10.0507
1991-12-01,2.8461,3.0122,11.9183,1.3091
1992-01-01,-1.9317,3.1326,5.7765,-4.1812
1992-02-01,-0.3273,-0.3539,2.138,-3.1058
1992-03-01,-1.9576,-4.7617,-4.6885,-9.3397
1992-04-01,4.6316,8.7701,-4.1556,-10.1054
1992-05-01,1.3527,2.0157,1.1457,5.5028
1992-06-01,-2.0557,-6.8843,-3.7091,-13.0586
1992-07-01,-1.5878,-4.8231,3.0571,-0.2633
1992-08-01,-4.358,-3.6256,-3.0491,13.5198
1992-09-01,-4.0202,10.3952,3.5783,-3.6654
1992-10-01,-3.9865,4.1246,3.7547,-3.6324
1992-11-01,1.564,4.533,7.8589,5.4691
1992-12-01,7.0299,2.4363,3.7106,-4.292
1993-01-01,-1.4001,-1.3806,2.8643,0.5849
1993-02-01,5.32,2.1659,-3.6721,-0.4171
1993-03-01,3.5974,0.3731,2.8862,9.662
1993-04-01,0.8456,-2.2788,-4.1601,12.5222
1993-05-01,3.3244,0.9811,5.913,-1.7544
1993-06-01,0.0403,2.0875,0.4882,-4.6808
1993-07-01,6.0929,0.9138,0.1065,4.0327
1993-08-01,6.41,5.9286,5.4122,3.1747
1993-09-01,0.0866,-2.0161,2.6843,-4.3801
1993-10-01,7.5513,4.3951,2.1605,-2.0044
1993-11-01,-4.867,-0.1293,-3.1915,-16.7284
1993-12-01,8.1716,7.9415,2.9706,6.1559
1994-01-01,6.3121,2.1472,3.0471,16.1451
1994-02-01,-5.656,-4.6881,-0.9957,-1.1469
1994-03-01,-5.8254,-7.2624,-6.188,-4.4257
1994-04-01,0.6332,1.2604,-1.2939,3.2074
1994-05-01,0.6728,-4.9531,0.184,6.3321
1994-06-01,-4.3702,-1.727,-3.9758,-1.5734
1994-07-01,3.6398,5.5974,2.2947,-0.9446
1994-08-01,2.9396,5.4727,6.0181,0.8802
1994-09-01,-4.4013,-6.9203,-0.1737,-5.1626
1994-10-01,0.7936,2.3494,1.7271,2.1775
1994-11-01,-7.5362,-0.5166,-3.4946,-4.5723
1994-12-01,2.2267,-0.516,0.2186,3.3917
1995-01-01,-5.2877,-2.4107,0.4309,-5.4403
1995-02-01,4.8836,0.5917,5.102,-8.563
1995-03-01,-0.75,4.2734,2.9582,-5.3539
1995-04-01,7.5882,2.5112,3.2758,4.1326
1995-05-01,-1.4974,3.1927,2.4408,-8.1514
1995-06-01,-0.1238,-0.1446,7.9657,-5.9597
1995-07-01,4.9132,4.4862,7.2591,14.886
1995-08-01,0.7986,0.4187,1.8877,8.6281
1995-09-01,0.1406,0.8741,2.2968,-1.126
1995-10-01,-2.9167,0.5958,-0.7168,-1.4403
1995-11-01,4.1038,3.831,2.2335,6.1682
1995-12-01,2.0474,0.6823,-0.6675,5.9966
1996-01-01,3.8811,1.8974,0.7281,4.7564
1996-02-01,0.0655,-0.8432,3.7989,-3.3056
1996-03-01,-2.8122,-0.7485,0.1227,6.3702
1996-04-01,4.0978,3.1949,8.0915,2.9616
1996-05-01,-2.1884,-1.8361,4.4443,-0.3856
1996-06-01,-1.0591,-0.9819,-4.6975,2.6189
1996-07-01,-2.7563,-0.2102,-8.8125,-8.1576
1996-08-01,4.0545,4.4394,5.6367,-2.5419
1996-09-01,0.9565,2.2262,7.4831,6.8875
1996-10-01,2.6109,0.6424,-0.4409,-5.052
1996-11-01,1.6339,1.9829,5.8207,2.7019
1996-12-01,1.5072,1.4909,-0.1222,-7.8925
1997-01-01,-0.0371,3.8193,6.8798,-5.3251
1997-02-01,1.081,0.7601,-5.1346,1.2384
1997-03-01,-1.1266,0.1068,-6.6692,-2.9854
1997-04-01,2.7123,2.8542,3.1972,6.3767
1997-05-01,4.9236,4.1772,11.0695,4.7935
1997-06-01,4.4206,-0.3614,2.9815,2.6708
1997-07-01,0.3375,6.5782,10.5224,-1.3298
1997-08-01,-5.1954,-1.8339,-0.4072,-10.3389
1997-09-01,6.7065,8.8573,6.1972,-1.8706
1997-10-01,-10.9184,-7.6637,-5.4624,-7.9886
1997-11-01,0.0122,-0.2168,0.4355,1.0572
1997-12-01,6.1417,6.2854,-1.8869,-8.2607
1998-01-01,1.5364,6.2896,3.121,8.9718
1998-02-01,1.532,5.6572,9.3339,1.2268
1998-03-01,1.735,2.8592,3.6809,-1.812
1998-04-01,0.6523,-0.0641,1.783,-5.3594
1998-05-01,-1.6799,-0.9733,-4.7923,0.1887
1998-06-01,-1.7417,-0.649,6.5137,1.0177
1998-07-01,1.3566,0.0772,-1.1796,3.4661
1998-08-01,-8.2785,-10.0684,-19.9285,-13.8658
1998-09-01,4.2851,-3.5242,12.9792,-4.9724
1998-10-01,2.3309,7.3849,4.5784,1.1794
1998-11-01,4.7596,5.6175,10.0571,9.7253
1998-12-01,1.4459,2.4147,12.4722,-6.9978
1999-01-01,2.8578,0.2278,14.2838,4.7469
1999-02-01,-0.4803,4.7337,-8.6939,-0.9084
1999-03-01,3.0314,1.9465,7.5773,10.2248
1999-04-01,4.5127,4.0808,3.3095,5.4617
1999-05-01,-6.4784,-4.9754,-2.8448,-3.5319
1999-06-01,2.3688,1.4824,8.7269,8.8016
1999-07-01,1.7178,-1.3706,-1.7732,1.8946
1999-08-01,-2.2517,0.2327,3.8226,-2.381
1999-09-01,-2.3984,-3.4676,0.2486,0.9687
1999-10-01,0.1388,3.7464,8.021,1.912
1999-11-01,5.5076,5.459,12.4638,3.4341
1999-12-01,3.5644,5.0476,21.9759,2.0266
2000-01-01,-1.7922,-9.5481,-3.1691,3.1972
2000-02-01,1.2823,-0.5727,19.1947,2.1486
2000-03-01,-0.0765,4.9353,-2.6372,1.8928
2000-04-01,-1.5383,-3.2537,-15.5739,-11.6221
2000-05-01,-1.4424,0.5057,-11.9086,-9.1314
2000-06-01,7.1367,-0.7343,16.6191,6.604
2000-07-01,-1.3507,0.8332,-5.0205,-9.6695
2000-08-01,1.4968,4.8293,11.6634,7.2088
2000-09-01,-0.4783,-5.6724,-12.6839,-6.6069
2000-10-01,-1.3,2.291,-8.255,-7.669
2000-11-01,0.5649,-4.6005,-22.9016,0.7491
2000-12-01,-2.0888,1.3073,-4.9043,-5.8902
2001-01-01,4.3364,1.2053,12.2326,0.4197
2001-02-01,-0.5286,-6.0278,-22.3931,-6.9347
2001-03-01,-5.4122,-4.8024,-14.4793,0.9016
2001-04-01,5.5992,5.9162,14.9968,7.1896
2001-05-01,1.4341,-2.8624,-0.2717,-4.8239
2001-06-01,3.2558,-2.6517,2.3715,-2.21
2001-07-01,-4.5078,-2.0097,-6.1748,-8.5456
2001-08-01,-1.6204,-3.3297,-10.9366,-9.6727
2001-09-01,-7.1415,-8.2619,-16.9838,-8.763
2001-10-01,6.6031,2.7797,12.7702,6.053
2001-11-01,2.8757,3.2522,14.222,3.194
2001-12-01,2.5329,0.2652,1.0266,-1.4473
2002-01-01,1.3125,-1.0082,-0.8393,-5.1678
2002-02-01,-1.3337,-1.2353,-10.4724,5.9016
2002-03-01,0.1399,3.3484,6.5758,4.1284
2002-04-01,-1.8969,-2.0145,-8.5144,4.2413
2002-05-01,0.7759,-1.5584,-4.2944,2.3594
2002-06-01,-4.869,-8.4305,-9.4397,-9.7066
2002-07-01,-4.1287,-8.8094,-9.2229,-7.0035
2002-08-01,1.3553,-0.4451,-1.0096,-2.6184
2002-09-01,-4.7305,-11.958,-10.8598,-2.4535
2002-10-01,2.2778,8.5416,13.4541,-7.9163
2002-11-01,1.0083,3.2106,11.2074,6.6556
2002-12-01,-1.6429,-5.4924,-9.6884,-6.908
2003-01-01,-1.3477,-9.466,-1.0932,-2.786
2003-02-01,-5.3485,2.4724,1.2575,0.277
2003-03-01,2.5266,-1.1571,0.2729,-4.6673
2003-04-01,4.2933,8.6541,9.1815,-1.7722
2003-05-01,0.2996,3.11,8.9872,7.5732
2003-06-01,0.641,-0.4175,1.6849,7.8177
2003-07-01,3.5947,3.1207,6.9152,5.2856
2003-08-01,3.0965,0.0986,4.3475,8.1598
2003-09-01,-0.8336,-1.6774,-1.2986,-1.2036
2003-10-01,3.3436,4.798,8.1295,3.3324
2003-11-01,-2.6414,1.2828,1.4517,-4.3469
2003-12-01,3.4515,3.0926,2.1992,5.7033
2004-01-01,-0.6776,-1.9254,3.1337,1.0019
2004-02-01,2.7074,2.3117,-1.7583,2.3954
2004-03-01,1.3017,-2.3708,-1.7538,6.0992
2004-04-01,-0.2547,2.3713,-3.7142,0.3961
2004-05-01,1.4438,-1.3141,3.468,-4.4672
2004-06-01,2.1233,0.7538,3.0729,5.54
2004-07-01,0.4476,-1.1424,-7.8343,-4.4953
2004-08-01,0.4456,1.0469,-2.61,-2.1543
2004-09-01,3.1669,2.5004,3.1957,-2.3301
2004-10-01,3.037,1.1683,4.12,-0.4818
2004-11-01,4.1333,1.7084,6.1681,1.1868
2004-12-01,2.7975,2.3622,3.75,5.4087
2005-01-01,1.3224,0.7893,-5.1957,-0.8806
2005-02-01,1.2126,2.3947,-0.5183,3.1
2005-03-01,-1.3449,-1.4914,-2.5583,-0.6103
2005-04-01,-3.8409,-1.894,-3.8805,-5.6565
2005-05-01,3.2284,3.38,7.6273,2.4316
2005-06-01,3.9185,3.0056,-0.5444,2.7262
2005-07-01,2.7613,3.3071,6.2165,2.7244
2005-08-01,1.5368,0.2764,-1.4985,4.3195
2005-09-01,4.058,3.4133,-0.0186,9.3502
2005-10-01,-3.9172,-2.9282,-1.4588,0.2372
2005-11-01,3.8729,1.9916,5.3068,9.3018
2005-12-01,2.7315,3.6067,-1.2316,8.3329
2006-01-01,3.64,2.5183,4.5572,3.3417
2006-02-01,-0.0369,0.5416,-1.0595,-2.669
2006-03-01,4.2801,2.9889,2.5598,5.2713
2006-04-01,2.3549,0.9808,-0.736,-0.8994
2006-05-01,-4.5074,-4.9692,-6.1867,-8.5111
2006-06-01,1.2409,1.9148,-0.3116,0.2447
2006-07-01,-1.5276,1.6268,-3.7116,-0.312
2006-08-01,2.4752,-0.3745,4.4122,4.4249
2006-09-01,0.6536,0.9262,3.4198,-0.0817
2006-10-01,4.692,2.8251,4.7945,1.6854
2006-11-01,2.0307,-1.3101,2.749,-0.7626
2006-12-01,3.3452,2.8418,-0.6777,5.8466
2007-01-01,2.0091,-0.2845,2.0138,0.9148
2007-02-01,1.0212,-0.5094,-1.9392,1.2696
2007-03-01,2.7903,2.2118,0.2272,-1.7977
2007-04-01,3.0023,2.2384,4.2719,0.6523
2007-05-01,2.9797,2.6716,3.1456,2.7318
2007-06-01,-0.492,-0.2054,-0.0495,1.4691
2007-07-01,-1.9507,-3.7501,-2.188,-4.9038
2007-08-01,0.9826,-0.8931,1.9672,-3.9411
2007-09-01,5.323,2.5939,4.0495,1.3073
2007-10-01,3.0117,3.9401,5.8345,-0.2863
2007-11-01,-2.7364,-4.3011,-6.9308,-6.3149
2007-12-01,-2.6177,0.3793,-0.3262,-2.378
2008-01-01,-11.2755,-8.9377,-9.8941,-11.2055
2008-02-01,-0.3914,0.0765,-4.9534,0.0776
2008-03-01,-4.6699,-3.0964,0.3355,-7.9209
2008-04-01,4.5714,6.7554,5.8663,10.574
2008-05-01,2.0665,-0.5553,4.5532,3.5274
2008-06-01,-7.6378,-7.0637,-9.1047,-5.978
2008-07-01,-5.256,-3.8038,1.4204,-0.7757
2008-08-01,3.2241,4.152,1.8047,-2.2721
2008-09-01,-11.2012,-13.0238,-11.6426,-13.8685
2008-10-01,-14.0047,-10.7129,-17.7319,-23.8269
2008-11-01,-7.7837,-2.0401,-10.772,-0.7545
2008-12-01,-0.3649,3.4095,2.7,4.0799
2009-01-01,-4.9518,-6.4183,-6.3797,-9.7692
2009-02-01,-5.2097,-7.6995,-6.677,-5.3243
2009-03-01,7.14,2.5065,10.941,7.1496
2009-04-01,6.0131,8.0895,12.3454,8.8628
2009-05-01,1.8319,4.1049,3.3209,7.8638
2009-06-01,3.5271,-3.8185,3.4216,4.578
2009-07-01,7.6422,8.4533,7.8178,4.0005
2009-08-01,5.5207,6.5207,1.5446,1.3102
2009-09-01,5.6912,4.5835,5.6424,-3.4243
2009-10-01,-1.9497,-1.7394,-3.6425,-0.972
2009-11-01,1.4763,2.8962,4.8648,-6.868
2009-12-01,3.5458,4.2807,5.8076,12.8499
2010-01-01,-5.8533,-4.1457,-5.3676,-3.3035
2010-02-01,1.1791,3.1994,4.2336,-0.7061
2010-03-01,5.2031,6.0715,7.135,9.5191
2010-04-01,-1.2099,-2.2238,2.6368,-0.2934
2010-05-01,-7.8673,-6.5709,-8.2948,-11.6546
2010-06-01,-2.892,-5.2328,-6.5484,-3.952
2010-07-01,4.2222,6.9373,6.8963,1.6484
2010-08-01,-1.5219,-0.6238,-6.239,-7.4784
2010-09-01,4.4629,6.1892,12.0429,6.1796
2010-10-01,2.0811,2.2817,5.8595,-1.7813
2010-11-01,-1.2042,-2.5885,-0.3661,7.9825
2010-12-01,3.646,6.7218,6.19,2.9373
2011-01-01,0.064,-0.6271,1.7796,0.088
2011-02-01,1.5175,2.2361,3.044,3.772
2011-03-01,0.1016,-1.4214,-0.0431,-8.1794
2011-04-01,-0.6006,2.7264,3.325,0.9702
2011-05-01,-2.2474,-1.3163,-1.3308,-1.5839
2011-06-01,-2.6958,-0.7396,-2.179,1.2623
2011-07-01,-3.4186,-2.1949,-0.618,0.1726
2011-08-01,-2.9019,-7.2345,-6.4186,-8.9274
2011-09-01,-6.8606,-4.9309,-6.3602,-2.8465
2011-10-01,7.135,8.1057,11.1373,3.3114
2011-11-01,-4.0316,-0.6998,-2.3867,-6.1611
2011-12-01,-1.7612,1.2152,-0.5797,0.2459
2012-01-01,5.2226,1.9615,8.0107,4.1058
2012-02-01,1.4425,3.3424,5.4392,10.4599
2012-03-01,0.727,-1.7542,4.2024,3.7058
2012-04-01,1.0679,-0.5322,-1.4624,-5.5801
2012-05-01,-7.4655,-7.2658,-7.1896,-10.2738
2012-06-01,0.0435,4.7041,3.8096,5.4321
2012-07-01,3.7214,1.1506,0.1523,-3.461
2012-08-01,1.1563,1.3522,4.3354,1.6659
2012-09-01,1.551,0.5358,1.6065,0.3422
2012-10-01,2.9299,0.7071,-4.4605,0.6553
2012-11-01,-0.3836,1.4543,1.1087,5.7986
2012-12-01,3.2448,0.5284,0.3079,10.0484
2013-01-01,5.068,6.4278,4.0609,7.1522
2013-02-01,4.4766,1.3366,0.5748,3.7769
2013-03-01,-2.7439,0.8002,3.3963,7.2543
2013-04-01,3.7892,0.287,1.8751,11.8
2013-05-01,-4.9259,2.3794,3.8188,-0.6228
2013-06-01,-2.8205,-5.584,-1.5238,-0.7058
2013-07-01,5.4509,6.5256,6.5561,-0.0658
2013-08-01,1.7793,-3.1445,-1.0065,-2.0446
2013-09-01,1.8028,0.7688,5.059,7.9689
2013-10-01,3.8829,4.1658,3.9303,-0.8845
2013-11-01,-1.9556,-1.2003,3.5763,9.31
2013-12-01,0.7301,1.4811,2.8745,4.0189
2014-01-01,-2.7648,-3.5368,-1.7409,-8.451
2014-02-01,4.0403,4.5973,4.9768,-0.4925
2014-03-01,-0.229,-3.1029,-2.5331,-0.0892
2014-04-01,1.2549,2.7522,-2.0107,-3.532
2014-05-01,0.0548,0.9513,3.1124,2.2949
2014-06-01,-1.6771,-1.4698,3.9023,3.6202
2014-07-01,4.4797,-0.2046,-0.8713,3.0251
2014-08-01,0.0267,1.3328,4.8172,-1.2559
2014-09-01,-5.828,-2.8901,-1.8968,4.8554
2014-10-01,3.9307,-1.1506,3.0567,1.4854
2014-11-01,-3.7584,2.69,3.4744,6.3732
2014-12-01,1.7082,-2.328,-1.1599,-0.052
2015-01-01,3.0249,2.7916,-2.1286,1.2814
2015-02-01,6.2486,2.9232,7.0825,6.3569
2015-03-01,-0.6205,-2.5005,-1.2622,2.176
2015-04-01,-1.5046,2.7698,0.8272,1.6297
2015-05-01,0.0208,0.3419,2.6027,5.344
2015-06-01,-5.6053,-6.6348,-1.6402,-1.5923
2015-07-01,4.2284,2.6882,2.8356,1.7272
2015-08-01,-8.0891,-6.6962,-6.8594,-8.2329
2015-09-01,-3.1309,-2.9818,-3.2733,-7.9528
2015-10-01,4.5467,4.9409,9.3847,9.7477
2015-11-01,-1.3312,-0.0786,1.0867,3.4815
2015-12-01,2.4223,-1.7904,-1.9821,-3.6144
